BusStopId,BusStopName,Suburb,X,Y
12534,Mirrabooka Av After Aristos Wy,Marangaroo,115.853483214,-31.8325495184
12539,Mirrabooka Station   Stand 1,Mirrabooka,115.858769444444,-31.8703022222222
12545,Mirrabooka Station   Stand 11,Mirrabooka,115.85844166666701,-31.869949444444401
12546,Mirrabooka Station   Stand 10,Mirrabooka,115.858353888889,-31.8701277777778
12552,Warwick Stn Stand 6,Warwick,115.796439444444,-31.844786111111102
12886,Newcastle St After Beaufort St,Perth,115.86316,-31.9472838888889
12895,Wellington St Harold Boas Gardens G 8 / Y21,West Perth,115.843877777778,-31.946535
12898,Wellington St Before William St,Perth,115.857290555556,-31.9508527777778
12901,Wellington St Perth Stn Red 24/Yellow Cat25,Perth,115.860552739,-31.9519177428
12904,Wellington St Pier St Yellow Cat 26,Perth,115.862802872,-31.952674892
12907,Wellington St Royal Perth Hospital Y27,Perth,115.8659923,-31.9537018866
12910,Wellington St Before Bennett St,East Perth,115.872360555556,-31.9558638888889
12912,Wellington St Plain St Y30,East Perth,115.875195,-31.9567772222222
13270,Eighth Rd After Gribble Av,Armadale,115.993134543,-32.1554297685
13276,Weld St After Dumsday Dr,Forrestdale,115.936961666667,-32.1491588888889
13285,Armadale Rd After Wirin Rd,Forrestdale,115.943640735,-32.1476175261
13287,Brookton Hwy After River Rd,Kelmscott,116.022223528,-32.1270746557
13289,Brookton Hwy After Ellen St,Kelmscott,116.026175306,-32.1302428384
13291,Brookton Hwy After Ranford St,Kelmscott,116.032052112,-32.127512903
13687,Welshpool Rd Before Melaleuca Rd,Lesmurdie,116.024367041,-32.0053101691
13690,Welshpool Rd Before Crystal Brook Rd,Lesmurdie,116.034481666667,-32.0121122222222
13694,Welshpool Rd   After Lewis Rd,Wattle Grove,116.005987266,-32.0063498816
13698,Welshpool Rd After Sheffield Rd,Wattle Grove,115.985337851,-32.0060236592
13702,Welshpool Rd Before Gibbs St,East Cannington,115.964740555556,-32.0006583333333
14057,Kalamunda Rd Between Hawtin Rd And Terrigal Pl,Maida Vale,116.027287385,-31.9554716723
14060,Kalamunda Rd After Gray Rd,Gooseberry Hill,116.036020555556,-31.9598605555556
14063,Kalamunda Rd Before Persimmon Pl,Kalamunda,116.043157436,-31.9629442216
14070,Dawson Av After Juniper Wy,Forrestfield,115.998038333333,-31.9842427777778
14073,Dawson Av After Virgilia Wy,Forrestfield,116.000284007,-31.9859958449
14077,Strelitzia Av After Mallee Wy,Forrestfield,116.005427222222,-31.98156
14454,Great Eastern Hwy Before Norwood Rd,Rivervale,115.905056351,-31.9571680577
14457,Great Eastern Hwy After Acton Av,Rivervale,115.913091753,-31.9531968132
14458,Great Eastern Hwy After Belmont Av,Belmont,115.91731942,-31.9509657301
14459,Great Eastern Hwy After Abernethy Rd,Ascot,115.918662088,-31.9481923019
14466,Great Eastern Hwy Before Central Av,Ascot,115.944053873,-31.9305735635
14469,Great Eastern Hwy Before Ivy St,Ascot,115.954126111111,-31.9237983333333
14471,Great Eastern Hwy Before Beverley Tce,South Guildford,115.959971161,-31.9185899807
14474,Great Eastern Hwy Before Kalamunda Rd,South Guildford,115.965456111111,-31.9111
10029,Albany Hwy After Helm St,Maddington,115.993492969,-32.0586784854
10035,Albany Hwy After Herbert St,Maddington,115.978810188,-32.0491121446
10038,Albany Hwy Before Liddelow St,Kenwick,115.971990555556,-32.0419138888889
10041,Albany Hwy After Roe Hwy,Beckenham,115.963947222222,-32.0318238888889
10044,Albany Hwy After Clapham St,Beckenham,115.951652844,-32.0278573124
10045,Albany Hwy Before Highbury Cr,Beckenham,115.947556111111,-32.0273583333333
10049,Albany Hwy After Liege St,Cannington,115.938125115,-32.0221095582
10381,Mounts Bay Rd Opposite University Of Wa,Crawley,115.816032625,-31.9761320756
10384,Mounts Bay Rd Before Wingfield Av,Crawley,115.825223796,-31.9735805264
10389,Mounts Bay Rd University Of Wa,Crawley,115.817267509,-31.9759412417
10392,Stirling Hwy Before Tyrell St,Nedlands,115.809260363,-31.9782114677
10395,Stirling Hwy After Dalkeith Rd,Nedlands,115.802033928,-31.9795046287
10738,Marmion St After Stock Rd,Palmyra,115.792824694,-32.0469351914
10741,Marmion St Before Mckimmie Rd,Palmyra,115.785279059,-32.0470276314
10748,Marmion St Before Stirling Hwy,Fremantle,115.765146723,-32.0473638577
10752,Lefroy Rd After Hale St,Beaconsfield,115.760460636,-32.0675636216
10755,Lefroy Rd Before Fifth Av,Beaconsfield,115.771772629,-32.067131209
11112,Riseley St Before Kearns Cr,Ardross,115.834697052,-32.0210303731
11116,Riseley St Before Coomoora Rd,Ardross,115.83802412,-32.0312521568
11119,Riseley St After Allerton Wy,Booragoon,115.8361346,-32.0435791942
11123,Riseley St After Karoonda Rd,Booragoon,115.837673045,-32.0386227044
11126,Riseley St After Glencoe Rd,Ardross,115.837142749,-32.0287648572
11130,Booragoon Bus Station   Stand D4,Booragoon,115.837209444444,-32.0358727777778
11131,Booragoon Bus Station   Stand D3,Booragoon,115.837016666667,-32.0358594444444
11478,Unnamed Rd Stand 1,Scarborough,115.756640573,-31.8945739293
11482,Pearson St Before Stephenson Av,Woodlands,115.795873333333,-31.9128877777778
11485,Pearson St After Dolomite Ct,Churchlands,115.793546666667,-31.9223911111111
11491,Selby St After Flynn St,Wembley,115.804215269,-31.9320573316
11493,Selby St Before Hay St,Jolimont,115.804350175,-31.9463336554
11501,Aberdare Rd After Smyth Rd,Shenton Park,115.806879391,-31.9643444169
11819,Murray St After Thelma St,Como,115.874731723,-31.9957026022
11822,Murray St After Hobbs Av,Como,115.874750076,-31.9902025268
11825,Mill Point Rd After Stirling St,South Perth,115.848987777778,-31.9689811111111
11829,Mill Point Rd Before Onslow St,South Perth,115.856830215,-31.9757033325
11832,Mill Point Rd After Pepper St,South Perth,115.870385405,-31.9773382795
11835,Mill Point Rd After Hovia Tce,South Perth,115.878243029,-31.9758001571
12171,Beaufort St Before Broome St,Highgate,115.86933111111099,-31.939032222222199
12173,Beaufort St After Greenway St,Perth,115.866648888889,-31.9433672222222
12177,Cannington Stn Stand 4,Cannington,115.945381111111,-32.0141266666666
12181,Wellington St Bus Stn Stand 15,Perth,115.85723944444401,-31.950661111111099
12183,Wellington St Bus Stn Stand 10,Perth,115.856758888889,-31.9503172222222
12187,Wellington St Bus Stn Stand 7,Perth,115.856947222222,-31.950284444444399
12557,Scarborough Beach Rd After Joyce St,Scarborough,115.766364122,-31.8939794023
12558,Scarborough Beach Rd After Deanmore Rd,Scarborough,115.768566786,-31.8938661429
12560,Scarborough Beach Rd After Gildercliffe St,Scarborough,115.775856576,-31.8939243704
12566,Scarborough Beach Rd After Grant St,Innaloo,115.791462777778,-31.9002955555555
12568,Scarborough Beach Rd After Odin Rd,Innaloo,115.796929839,-31.9019876394
12571,Scarborough Beach Rd After Omalley St,Osborne Park,115.808673032,-31.9056755193
12574,Scarborough Beach Rd After Drake St,Osborne Park,115.815981111111,-31.9115161111111
12913,Wellington St Plain St Y/30,East Perth,115.87525477,-31.9568098654
12915,Wellington St Wellington Squ R4 / Y9,East Perth,115.873418888889,-31.9563488888889
12918,Wellington St After Hill St,Perth,115.868927777778,-31.9548655555556
12920,Wellington St Royal Perth Hospital Y12,Perth,115.865642498,-31.9538199391
12927,Wellington St After George St,West Perth,115.848953484,-31.9483703668
12930,Leederville Pde Before Oxford St,Leederville,115.840114444444,-31.9377311111111
12933,Shenton St Russell Square Blue Cat 10,Northbridge,115.854915547,-31.9459578408
27158,North Lake Rd After Poletti,Cockburn Central,115.850009982,-32.1218297769
13296,Brookton Hwy After Keays Rd,Kelmscott,116.049665607,-32.1252541597
13303,Brookton Hwy Before Holden Rd,Roleystone,116.072592222222,-32.120115
13309,Brookton Hwy Before Holden Rd,Roleystone,116.076703908,-32.1172465916
13313,Brookton Hwy Before Thompson Rd,Roleystone,116.068492778,-32.1261363197
13314,Brookton Hwy Between Thompson Rd And Peet Rd,Roleystone,116.06473078,-32.1256801119
