line,OrderFromPerth,Station,StationRefNo,Zone,DistanceFromPerth,DistanceToPerth,X,Y
Armadale Line,04,Burswood Stn,2780,1,4648.87,4639.19,115.89991555555601,-31.959795
Armadale Line,05,Victoria Park Stn,2781,1,6001.14,5996.23,115.9021211,-31.97158778
Armadale Line,06,Carlisle Stn,2782,1,7348.25,7344.04,115.9112144,-31.98094833
Armadale Line,07,Oats Street Stn,2783,1,8170.15,8163,115.91594888888901,-31.98708556
Armadale Line,08,Welshpool Stn,2785,1,9304.69,9299.76,115.92324833333301,-31.99504111
Armadale Line,09,Queens Park Stn,2786,2,11268.61,11263.3,115.93843333333299,-32.007125
Armadale Line,10,Cannington Stn,2787,2,12211.95,12206,115.9449572,-32.01355444
Armadale Line,11,Thornlie Stn,2603,2,17013.21,17008.91,115.9522833,-32.04723222
Armadale Line,12,Beckenham Stn,2788,2,13630.27,13541,115.9542978,-32.02259333
Armadale Line,13,Kenwick Stn,2789,2,15627.51,15563,115.9689717,-32.03586722
Armadale Line,14,Maddington Stn,2790,2,17559.06,17555,115.9826117,-32.04924056
Armadale Line,15,Gosnells Stn,2791,3,20724.95,20721,115.99985833333299,-32.07148167
Armadale Line,16,Seaforth Stn,2792,3,22591.59,22583,116.01104888888899,-32.08466167
Armadale Line,17,Kelmscott Stn,2793,3,25812.6,25803,116.01321,-32.11343833
Armadale Line,18,Challis Stn,2794,3,27291.3,27280,116.0128094,-32.12631222
Armadale Line,19,Sherwood Stn,2795,3,28574.38,28566,116.01029277777801,-32.137595
Armadale Line,20,Armadale Stn,2796,4,30450.3,30442,116.0129661,-32.15384944
City Stations,00,Perth Stn,2776,0,0,0,115.8600372,-31.951145
City Stations,01,McIver Stn,2777,0,664.97,670,115.8665056,-31.95184222
City Stations,02,Claisebrook Stn,2778,0,1264.85,1271,115.8723083,-31.94963778
Fremantle Line,01,City West Stn,2775,0,1542.83,1543.52,115.84560166666699,-31.94484944
Fremantle Line,02,West Leederville Stn,2774,1,2757.29,2758.77,115.83318722222199,-31.942645
Fremantle Line,03,Subiaco Stn,2764,1,3638.93,3640.59,115.8242167,-31.94463722
Fremantle Line,04,Daglish Stn,2759,1,4990.05,4995.21,115.81305,-31.95199778
Fremantle Line,05,Shenton Park Stn,2760,1,6097.03,6105.18,115.8055117,-31.95946389
Fremantle Line,06,Karrakatta Stn,2761,1,7425.62,7432.24,115.7963006,-31.968315
Fremantle Line,07,Loch Street Stn,2762,1,8034.46,8038.74,115.79138166666699,-31.97182889
Fremantle Line,09,Claremont Stn,2766,1,9383.03,9388.62,115.7819061,-31.98045778
Fremantle Line,10,Swanbourne Stn,2767,2,10469.23,10471.92,115.7709139,-31.98262667
Fremantle Line,11,Grant Street Stn,2768,2,11226.05,11233.94,115.7648322,-31.98676611
Fremantle Line,12,Cottesloe Stn,2769,2,12442.16,12451.49,115.760825,-31.99718722
Fremantle Line,13,Mosman Park Stn,2770,2,13611.77,13622.56,115.7572139,-32.00708611
Fremantle Line,14,Victoria Street Stn,2771,2,14150.28,14159.34,115.75506,-32.01155111
Fremantle Line,15,North Fremantle Stn,2772,2,16201.81,16211.45,115.7517589,-32.02980722
Fremantle Line,16,Fremantle Stn,2773,2,19020.44,19030.43,115.74504611111099,-32.05203611
Joondalup Line,01,Leederville Stn,2803,1,2352.1,2425,115.8402683,-31.93892833
Joondalup Line,02,Glendalough Stn,2802,1,5552.99,5620,115.8231761,-31.91469167
Joondalup Line,03,Stirling Stn,2801,2,8777.1,8846,115.8048533,-31.89433833
Joondalup Line,04,Warwick Stn,2800,2,14446.04,14508,115.79642222222201,-31.8447
Joondalup Line,05,Greenwood Stn,1448,2,17749.93,17810,115.7832256,-31.81751167
Joondalup Line,06,Whitfords Stn,2763,3,19776.23,19837.62,115.7823711,-31.79923722
Joondalup Line,07,Edgewater Stn,2799,3,22817.91,0,115.7787172,-31.77204833
Joondalup Line,08,Joondalup Stn,2798,3,26152.22,0,115.7675172,-31.74488
Joondalup Line,09,Currambine Stn,2797,4,29142.13,0,115.7505867,-31.72488611
Joondalup Line,10,Clarkson Stn,1450,4,33149.04,0,115.7381311,-31.69072389
Mandurah Line,01,Elizabeth Quay Stn,3009,0,630.18,627.99,115.8553711,-31.95672389
Mandurah Line,02,Canning Bridge Stn,3018,1,7264.8,7264.72,115.8561367,-32.00972778
Mandurah Line,03,Bull Creek Stn,3027,2,11610.81,11606.96,115.8541111,-32.04700667
Mandurah Line,04,Murdoch Stn,3036,2,13801.83,13798.8,115.8504667,-32.06645889
Mandurah Line,05,Cockburn Central Stn,3045,3,20445.51,20446.52,115.8582928,-32.12521611
Mandurah Line,06,Aubin Grove Stn,3050,3,,,115.8579,-32.155
Mandurah Line,07,Kwinana Stn,3054,4,32951.83,32940.31,115.842505,-32.23505333
Mandurah Line,08,Wellard Stn,3063,4,37089.02,37075.39,115.8171711,-32.26390111
Mandurah Line,09,Rockingham Stn,3072,5,43177.94,43169.53,115.7612439,-32.29011833
Mandurah Line,10,Warnbro Stn,3081,5,47533.02,47531.28,115.7678294,-32.32655778
Mandurah Line,11,Mandurah Stn,3090,7,70864.15,70860.61,115.7467217,-32.52730667
Midland Line,03,East Perth Stn,2804,1,2034.71,2049.03,115.8771628,-31.94425278
Midland Line,04,Mt Lawley Stn,2805,1,3167.18,3177.83,115.8808467,-31.93483778
Midland Line,05,Maylands Stn,2806,1,4444.34,4455.76,115.89183277777801,-31.92827444
Midland Line,06,Meltham Stn,2807,1,5478.43,5484.45,115.90034611111101,-31.92250056
Midland Line,07,Bayswater Stn,2808,1,6736.72,6740.39,115.9125656,-31.91814222
Midland Line,09,Ashfield Stn,2809,2,9289.25,9285.68,115.9359878,-31.91293333
Midland Line,10,Bassendean Stn,2810,2,10751.84,10757.84,115.9471389,-31.90367389
Midland Line,11,Success Hill Stn,2811,2,11670.69,11663.17,115.9557661,-31.900255
Midland Line,12,Guildford Stn,2812,2,12637.53,12633.12,115.9658956,-31.89900944
